bolt-eng-DF-170-181103-8882097	Hallmark	Hallmark_Cards
bolt-eng-DF-170-181103-8882097	Palin	Sarah_Palin
bolt-eng-DF-170-181103-8882097	Giffords	Gabrielle_Giffords
bolt-eng-DF-170-181103-8882097	Palin	Sarah_Palin
bolt-eng-DF-170-181103-8882097	Palin	Sarah_Palin
bolt-eng-DF-170-181103-8882097	NBC	NBC
bolt-eng-DF-170-181103-8882382	Romney	Mitt_Romney
bolt-eng-DF-170-181103-8882382	Santorum	Rick_Santorum
bolt-eng-DF-170-181103-8882382	Huckabee	Mike_Huckabee
bolt-eng-DF-170-181103-8882382	Gingrich	Newt_Gingrich
bolt-eng-DF-170-181103-8882382	Good_Doctor	Ron_Paul
bolt-eng-DF-170-181103-8882382	Mitt	Mitt_Romney
bolt-eng-DF-170-181103-8882382	Obama	Barack_Obama
bolt-eng-DF-170-181103-8882382	Newt	Newt_Gingrich
bolt-eng-DF-170-181103-8882466	Ron_Paul	Ron_Paul
bolt-eng-DF-170-181103-8882466	Ron_Paul	Ron_Paul
bolt-eng-DF-170-181103-8882466	republican	Republican_Party_(United_States)
bolt-eng-DF-170-181103-8882466	Ron_Paul	Ron_Paul
bolt-eng-DF-170-181103-8882466	Libertarian	Libertarian_Party_(United_States)
bolt-eng-DF-170-181103-8882466	Libertarian	Libertarian_Party_(United_States)
bolt-eng-DF-170-181103-8882466	Ron_Paul	Ron_Paul
bolt-eng-DF-170-181103-8882520	Mitt	Mitt_Romney
bolt-eng-DF-170-181103-8882520	Newt	Newt_Gingrich
bolt-eng-DF-170-181103-8882520	Santorum	Rick_Santorum
bolt-eng-DF-170-181103-8882529	Catholic_Church	Catholic_Church
bolt-eng-DF-170-181103-8883028	Romney	Mitt_Romney
bolt-eng-DF-170-181103-8883028	Romney	Mitt_Romney
bolt-eng-DF-170-181103-8883028	GOP	Republican_Party_(United_States)
bolt-eng-DF-170-181103-8883028	Standtorum	Rick_Santorum
bolt-eng-DF-170-181103-8883028	McDonnell	Bob_McDonnell
bolt-eng-DF-170-181103-8883333	Solyndra	Solyndra
bolt-eng-DF-170-181103-8883333	ACORN	Association_of_Community_Organizations_for_Reform_Now
bolt-eng-DF-170-181103-8883333	AIG	American_International_Group
bolt-eng-DF-170-181103-8883333	AIG	American_International_Group
bolt-eng-DF-170-181103-8883333	Obama	Barack_Obama
bolt-eng-DF-170-181103-8883333	Alinsky	Saul_Alinsky
bolt-eng-DF-170-181103-8883333	Obama	Barack_Obama
bolt-eng-DF-170-181103-8883574	Christie_the_Hutt	Chris_Christie
bolt-eng-DF-170-181103-8883574	RomBot	Mitt_Romney
bolt-eng-DF-170-181103-8883574	Christie	Chris_Christie
